slug,game_name,iframe_url,image
eye-of-atum,Eye of Atum,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=eyeofatum&lang=en_GB&practice=1&channel=desktop&demo=2,eye-of-atum.webp
eye-of-the-kraken,Eye of the Kraken,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=eyeofthekraken&lang=en_GB&practice=1&channel=desktop&demo=2,eye-of-the-kraken.webp
fat-frankies,Fat Frankies,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fatfrankies&lang=en_GB&practice=1&channel=desktop&demo=2,fat-frankies.webp
feline-fury,Feline Fury,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=felinefury&lang=en_GB&practice=1&channel=desktop&demo=2,feline-fury.webp
fire-joker,Fire Joker,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=firejoker&lang=en_GB&practice=1&channel=desktop&demo=2,fire-joker.webp
fire-joker-freeze,Fire Joker Freeze,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=firejokerfreeze&lang=en_GB&practice=1&channel=desktop&demo=2,fire-joker-freeze.webp
fire-toad,Fire Toad,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=firetoad&lang=en_GB&practice=1&channel=desktop&demo=2,fire-toad.webp
firefly-frenzy,Firefly Frenzy,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fireflyfrenzy&lang=en_GB&practice=1&channel=desktop&demo=2,firefly-frenzy.webp
flying-pigs,Flying Pigs,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=flyingpigs&lang=en_GB&practice=1&channel=desktop&demo=2,flying-pigs.webp
forge-of-fortunes,Forge of Fortunes,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=forgeoffortunes&lang=en_GB&practice=1&channel=desktop&demo=2,forge-of-fortunes.webp
forge-of-gems,Forge of Gems,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=forgeofgems&lang=en_GB&practice=1&channel=desktop&demo=2,forge-of-gems.webp
fortune-rewind,Fortune Rewind,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fortunerewind&lang=en_GB&practice=1&channel=desktop&demo=2,fortune-rewind.webp
fortune-teller,Fortune Teller,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fortuneteller&lang=en_GB&practice=1&channel=desktop&demo=2,fortune-teller.webp
fortunes-of-ali-baba,Fortunes of Ali Baba,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fortunesofalibaba&lang=en_GB&practice=1&channel=desktop&demo=2,fortunes-of-ali-baba.webp
fox-mayhem,Fox Mayhem,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=foxmayhem&lang=en_GB&practice=1&channel=desktop&demo=2,fox-mayhem.webp
free-reelin-joker,Free Reelin Joker,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=freereelinjoker&lang=en_GB&practice=1&channel=desktop&demo=2,free-reelin-joker.webp
free-reelin-joker-1000,Free Reelin' Joker 1000,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=freereelinjoker1000&lang=en_GB&practice=1&channel=desktop&demo=2,free-reelin'-joker-1000.webp
frozen-gems,Frozen Gems,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=frozengems&lang=en_GB&practice=1&channel=desktop&demo=2,frozen-gems.webp
fruit-bonanza,Fruit Bonanza,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fruitbonanza&lang=en_GB&practice=1&channel=desktop&demo=2,fruit-bonanza.webp
fu-er-dai,FU ER DAI,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fuerdai&lang=en_GB&practice=1&channel=desktop&demo=2,fu-er-dai.webp
fulong-88,Fulong 88,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=fulong88&lang=en_GB&practice=1&channel=desktop&demo=2,fulong-88.webp
game-of-gladiators,Game of Gladiators,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gameofgladiators&lang=en_GB&practice=1&channel=desktop&demo=2,game-of-gladiators.webp
game-of-gladiators-uprising,Game of Gladiators: Uprising,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gameofgladiatorsuprising&lang=en_GB&practice=1&channel=desktop&demo=2,game-of-gladiators--uprising.webp
gargantoonz,Gargantoonz,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=gargantoonz&lang=en_GB&practice=1&channel=desktop&demo=2,gargantoonz.webp
